project_id,milestone,original_start,original_end,current_start,current_end
BY024-012,DEVELOP SCOPE,Jun 2012,Aug 2012,Jun 2012,Aug 2012
BY024-012,PRELIMINARY DESIGN,Aug 2012,Dec 2012,Aug 2012,Dec 2012
BY024-012,FINAL DESIGN,Dec 2012,Jun 2013,Dec 2012,Jun 2013
BY024-012,BID AWARD AND REGISTER CONTRCT,Jun 2013,Sep 2013,Jun 2013,Sep 2013
BY024-012,CONSTRUCTION TO 25%,Sep 2013,Jan 2014,Sep 2013,Jan 2014
BY024-012,CONSTRUCTION TO 50%,Jan 2014,May 2014,Jan 2014,May 2014
BY024-012,CONSTRUCTION TO 75%,May 2014,Sep 2014,May 2014,Sep 2014
BY024-012,ORIGINAL EQUIP & FURNISHING,Sep 2014,Dec 2014,Sep 2014,Dec 2014
BY024-012,SUBSTANTIAL COMPLETION,Dec 2014,Feb 2015,Dec 2014,Feb 2015
BY024-012,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2015,Mar 2015,Feb 2015,Mar 2027
BY025-012,DEVELOP SCOPE,Jun 2012,Aug 2012,Jun 2012,Aug 2012
BY025-012,PRELIMINARY DESIGN,Aug 2012,Dec 2012,Aug 2012,Dec 2012
BY025-012,FINAL DESIGN,Dec 2012,Jun 2013,Dec 2012,Jun 2013
BY025-012,BID AWARD AND REGISTER CONTRCT,Jun 2013,Sep 2013,Jun 2013,Sep 2013
BY025-012,CONSTRUCTION TO 25%,Sep 2013,Jan 2014,Sep 2013,Jan 2014
BY025-012,CONSTRUCTION TO 50%,Jan 2014,May 2014,Jan 2014,May 2014
BY025-012,CONSTRUCTION TO 75%,May 2014,Sep 2014,May 2014,Sep 2014
BY025-012,ORIGINAL EQUIP & FURNISHING,Sep 2014,Dec 2014,Sep 2014,Dec 2014
BY025-012,SUBSTANTIAL COMPLETION,Dec 2014,Feb 2015,Dec 2014,Feb 2015
BY025-012,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2015,Mar 2015,Feb 2015,Mar 2027
BY026-013,DEVELOP SCOPE,Jun 2013,Aug 2013,Jun 2013,Aug 2013
BY026-013,PRELIMINARY DESIGN,Aug 2013,Dec 2013,Aug 2013,Dec 2013
BY026-013,FINAL DESIGN,Dec 2013,Jun 2014,Dec 2013,Jun 2014
BY026-013,BID AWARD AND REGISTER CONTRCT,Jun 2014,Sep 2014,Jun 2014,Sep 2014
BY026-013,CONSTRUCTION TO 25%,Sep 2014,Jan 2015,Sep 2014,Jan 2015
BY026-013,CONSTRUCTION TO 50%,Jan 2015,May 2015,Jan 2015,May 2015
BY026-013,CONSTRUCTION TO 75%,May 2015,Sep 2015,May 2015,Sep 2015
BY026-013,ORIGINAL EQUIP & FURNISHING,Sep 2015,Dec 2015,Sep 2015,Dec 2015
BY026-013,SUBSTANTIAL COMPLETION,Dec 2015,Feb 2016,Dec 2015,Feb 2016
BY026-013,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2016,Mar 2016,Feb 2016,Mar 2026
BY031-017,DEVELOP SCOPE,Jun 2017,Aug 2017,Jul 2021,Oct 2021
BY031-017,PRELIMINARY DESIGN,Aug 2017,Dec 2017,Oct 2021,Jan 2022
BY031-017,FINAL DESIGN,Dec 2017,Jun 2018,Jan 2022,Jul 2022
BY031-017,BID AWARD AND REGISTER CONTRCT,Jun 2018,Sep 2018,Jul 2022,Oct 2022
BY031-017,CONSTRUCTION TO 25%,Sep 2018,Jan 2019,Oct 2022,Feb 2023
BY031-017,CONSTRUCTION TO 50%,Jan 2019,May 2019,Feb 2023,Jun 2023
BY031-017,CONSTRUCTION TO 75%,May 2019,Sep 2019,Jun 2023,Oct 2023
BY031-017,ORIGINAL EQUIP & FURNISHING,Sep 2019,Dec 2019,Oct 2023,Jan 2024
BY031-017,SUBSTANTIAL COMPLETION,Dec 2019,Feb 2020,Jan 2024,Mar 2024
BY031-017,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2020,Mar 2020,Mar 2024,May 2027
BY032-018,DEVELOP SCOPE,Jun 2018,Aug 2018,Jul 2021,Oct 2021
BY032-018,PRELIMINARY DESIGN,Aug 2018,Dec 2018,Oct 2021,Jan 2022
BY032-018,FINAL DESIGN,Dec 2018,Jun 2019,Jan 2022,Jul 2022
BY032-018,BID AWARD AND REGISTER CONTRCT,Jun 2019,Sep 2019,Jul 2022,Oct 2022
BY032-018,CONSTRUCTION TO 25%,Sep 2019,Jan 2020,Oct 2022,Feb 2023
BY032-018,CONSTRUCTION TO 50%,Jan 2020,May 2020,Feb 2023,Jun 2023
BY032-018,CONSTRUCTION TO 75%,May 2020,Sep 2020,Jun 2023,Oct 2023
BY032-018,ORIGINAL EQUIP & FURNISHING,Sep 2020,Dec 2020,Oct 2023,Jan 2024
BY032-018,SUBSTANTIAL COMPLETION,Dec 2020,Feb 2021,Jan 2024,Mar 2024
BY032-018,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2021,Mar 2021,Mar 2024,May 2026
BY033-019,DEVELOP SCOPE,Jun 2019,Aug 2019,Jul 2021,Oct 2021
BY033-019,PRELIMINARY DESIGN,Aug 2019,Dec 2019,Oct 2021,Jan 2022
BY033-019,FINAL DESIGN,Dec 2019,Jun 2020,Jan 2022,Jul 2022
BY033-019,BID AWARD AND REGISTER CONTRCT,Jun 2020,Sep 2020,Jul 2022,Oct 2022
BY033-019,CONSTRUCTION TO 25%,Sep 2020,Jan 2021,Oct 2022,Feb 2023
BY033-019,CONSTRUCTION TO 50%,Jan 2021,May 2021,Feb 2023,Jun 2023
BY033-019,CONSTRUCTION TO 75%,May 2021,Sep 2021,Jun 2023,Oct 2023
BY033-019,ORIGINAL EQUIP & FURNISHING,Sep 2021,Dec 2021,Oct 2023,Jan 2024
BY033-019,SUBSTANTIAL COMPLETION,Dec 2021,Feb 2022,Jan 2024,Mar 2024
BY033-019,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2022,Mar 2022,Mar 2024,Apr 2024
BY034-019,DEVELOP SCOPE,Jun 2019,Aug 2019,Jul 2021,Sep 2021
BY034-019,PRELIMINARY DESIGN,Aug 2019,Dec 2019,Sep 2021,Jan 2022
BY034-019,FINAL DESIGN,Dec 2019,Jun 2020,Jan 2022,Jul 2022
BY034-019,BID AWARD AND REGISTER CONTRCT,Jun 2020,Sep 2020,Jul 2022,Oct 2022
BY034-019,CONSTRUCTION TO 25%,Sep 2020,Jan 2021,Oct 2022,Feb 2023
BY034-019,CONSTRUCTION TO 50%,Jan 2021,May 2021,Feb 2023,Jun 2023
BY034-019,CONSTRUCTION TO 75%,May 2021,Sep 2021,Jun 2023,Oct 2023
BY034-019,ORIGINAL EQUIP & FURNISHING,Sep 2021,Dec 2021,Oct 2023,Jan 2024
BY034-019,SUBSTANTIAL COMPLETION,Dec 2021,Feb 2022,Jan 2024,Mar 2024
BY034-019,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2022,Mar 2022,Mar 2024,Apr 2024
BY036-020,DEVELOP SCOPE,Jul 2021,Oct 2021,Jul 2021,Oct 2021
BY036-020,PRELIMINARY DESIGN,Oct 2021,Jan 2022,Oct 2021,Jan 2022
BY036-020,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
BY036-020,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
BY036-020,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
BY036-020,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
BY036-020,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
BY036-020,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
BY036-020,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
BY036-020,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2024,Apr 2024,Mar 2024,Apr 2024
BY037-020,DEVELOP SCOPE,Jul 2021,Sep 2021,Jul 2021,Sep 2021
BY037-020,PRELIMINARY DESIGN,Sep 2021,Jan 2022,Sep 2021,Jan 2022
BY037-020,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
BY037-020,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
BY037-020,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
BY037-020,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
BY037-020,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
BY037-020,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
BY037-020,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
BY037-020,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2024,Apr 2024,Mar 2024,Apr 2024
CA034KG13,DEVELOP SCOPE,Jun 2018,Aug 2018,Jun 2018,Aug 2018
CA034KG13,PRELIMINARY DESIGN,Aug 2018,Dec 2018,Aug 2018,Dec 2018
CA034KG13,FINAL DESIGN,Dec 2018,Jun 2019,Dec 2018,Jun 2019
CA034KG13,BID AWARD AND REGISTER CONTRCT,Jun 2019,Sep 2019,Jun 2019,Sep 2019
CA034KG13,CONSTRUCTION TO 25%,Sep 2019,Jan 2020,Sep 2019,Jan 2020
CA034KG13,CONSTRUCTION TO 50%,Jan 2020,May 2020,Jan 2020,May 2020
CA034KG13,CONSTRUCTION TO 75%,May 2020,Sep 2020,May 2020,Sep 2020
CA034KG13,ORIGINAL EQUIP & FURNISHING,Sep 2020,Dec 2020,Sep 2020,Dec 2020
CA034KG13,SUBSTANTIAL COMPLETION,Dec 2020,Feb 2021,Dec 2020,Feb 2021
CA034KG13,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2021,Mar 2021,Feb 2021,Mar 2024
CA234KG13,DEVELOP SCOPE,Jun 2018,Aug 2018,Jun 2018,Aug 2018
CA234KG13,PRELIMINARY DESIGN,Aug 2018,Dec 2018,Aug 2018,Dec 2018
CA234KG13,FINAL DESIGN,Dec 2018,Jun 2019,Dec 2018,Jun 2019
CA234KG13,BID AWARD AND REGISTER CONTRCT,Jun 2019,Sep 2019,Jun 2019,Sep 2019
CA234KG13,CONSTRUCTION TO 25%,Sep 2019,Jan 2020,Sep 2019,Jan 2020
CA234KG13,CONSTRUCTION TO 50%,Jan 2020,May 2020,Jan 2020,May 2020
CA234KG13,CONSTRUCTION TO 75%,May 2020,Sep 2020,May 2020,Sep 2020
CA234KG13,ORIGINAL EQUIP & FURNISHING,Sep 2020,Dec 2020,Sep 2020,Dec 2020
CA234KG13,SUBSTANTIAL COMPLETION,Dec 2020,Feb 2021,Dec 2020,Feb 2021
CA234KG13,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2021,Mar 2021,Feb 2021,Mar 2021
KG001-021,DEVELOP SCOPE,Jun 2021,Sep 2021,Jun 2021,Sep 2021
KG001-021,PRELIMINARY DESIGN,Sep 2021,Jan 2022,Sep 2021,Jan 2022
KG001-021,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
KG001-021,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
KG001-021,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
KG001-021,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
KG001-021,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
KG001-021,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
KG001-021,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
KG001-021,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2024,Apr 2024,Mar 2024,Apr 2024
KG028-011,DEVELOP SCOPE,Jun 2011,Aug 2011,Jul 2020,Sep 2020
KG028-011,PRELIMINARY DESIGN,Aug 2011,Dec 2011,Sep 2020,Jan 2021
KG028-011,FINAL DESIGN,Dec 2011,Jun 2012,Jan 2021,Jul 2021
KG028-011,BID AWARD AND REGISTER CONTRCT,Jun 2012,Sep 2012,Jul 2021,Oct 2021
KG028-011,CONSTRUCTION TO 25%,Sep 2012,Jan 2013,Oct 2021,Feb 2022
KG028-011,CONSTRUCTION TO 50%,Jan 2013,May 2013,Feb 2022,Jun 2022
KG028-011,CONSTRUCTION TO 75%,May 2013,Sep 2013,Jun 2022,Oct 2022
KG028-011,ORIGINAL EQUIP & FURNISHING,Sep 2013,Dec 2013,Oct 2022,Jan 2023
KG028-011,SUBSTANTIAL COMPLETION,Dec 2013,Feb 2014,Jan 2023,Mar 2023
KG028-011,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2014,Mar 2014,Mar 2023,Jul 2023
KG030-012,DEVELOP SCOPE,Jun 2012,Aug 2012,Jun 2012,Aug 2012
KG030-012,PRELIMINARY DESIGN,Aug 2012,Dec 2012,Aug 2012,Dec 2012
KG030-012,FINAL DESIGN,Dec 2012,Jun 2013,Dec 2012,Jun 2013
KG030-012,BID AWARD AND REGISTER CONTRCT,Jun 2013,Sep 2013,Jun 2013,Sep 2013
KG030-012,CONSTRUCTION TO 25%,Sep 2013,Jan 2014,Sep 2013,Jan 2014
KG030-012,CONSTRUCTION TO 50%,Jan 2014,May 2014,Jan 2014,May 2014
KG030-012,CONSTRUCTION TO 75%,May 2014,Sep 2014,May 2014,Sep 2014
KG030-012,ORIGINAL EQUIP & FURNISHING,Sep 2014,Dec 2014,Sep 2014,Dec 2014
KG030-012,SUBSTANTIAL COMPLETION,Dec 2014,Feb 2015,Dec 2014,Feb 2015
KG030-012,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2015,Mar 2015,Feb 2015,Mar 2023
KG031-013,DEVELOP SCOPE,Jun 2013,Aug 2013,Jul 2020,Sep 2020
KG031-013,PRELIMINARY DESIGN,Aug 2013,Dec 2013,Sep 2020,Jan 2021
KG031-013,FINAL DESIGN,Dec 2013,Jun 2014,Jan 2021,Jul 2021
KG031-013,BID AWARD AND REGISTER CONTRCT,Jun 2014,Sep 2014,Jul 2021,Oct 2021
KG031-013,CONSTRUCTION TO 25%,Sep 2014,Jan 2015,Oct 2021,Feb 2022
KG031-013,CONSTRUCTION TO 50%,Jan 2015,May 2015,Feb 2022,Jun 2022
KG031-013,CONSTRUCTION TO 75%,May 2015,Sep 2015,Jun 2022,Oct 2022
KG031-013,ORIGINAL EQUIP & FURNISHING,Sep 2015,Dec 2015,Oct 2022,Jan 2023
KG031-013,SUBSTANTIAL COMPLETION,Dec 2015,Feb 2016,Jan 2023,Mar 2023
KG031-013,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2016,Mar 2016,Mar 2023,Apr 2023
KG033-017,DEVELOP SCOPE,Jun 2017,Aug 2017,Jul 2019,Sep 2019
KG033-017,PRELIMINARY DESIGN,Aug 2017,Dec 2017,Sep 2019,Jan 2020
KG033-017,FINAL DESIGN,Dec 2017,Jun 2018,Jan 2020,Jul 2020
KG033-017,BID AWARD AND REGISTER CONTRCT,Jun 2018,Sep 2018,Jul 2020,Oct 2020
KG033-017,CONSTRUCTION TO 25%,Sep 2018,Jan 2019,Oct 2020,Feb 2021
KG033-017,CONSTRUCTION TO 50%,Jan 2019,May 2019,Feb 2021,Jun 2021
KG033-017,CONSTRUCTION TO 75%,May 2019,Sep 2019,Jun 2021,Oct 2021
KG033-017,ORIGINAL EQUIP & FURNISHING,Sep 2019,Dec 2019,Oct 2021,Jan 2022
KG033-017,SUBSTANTIAL COMPLETION,Dec 2019,Feb 2020,Jan 2022,Mar 2022
KG033-017,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2020,Mar 2020,Mar 2022,Apr 2022
KG043-018,DEVELOP SCOPE,Jun 2018,Aug 2018,Jul 2021,Sep 2021
KG043-018,PRELIMINARY DESIGN,Aug 2018,Dec 2018,Sep 2021,Jan 2022
KG043-018,FINAL DESIGN,Dec 2018,Jun 2019,Jan 2022,Jul 2022
KG043-018,BID AWARD AND REGISTER CONTRCT,Jun 2019,Sep 2019,Jul 2022,Oct 2022
KG043-018,CONSTRUCTION TO 25%,Sep 2019,Jan 2020,Oct 2022,Feb 2023
KG043-018,CONSTRUCTION TO 50%,Jan 2020,May 2020,Feb 2023,Jun 2023
KG043-018,CONSTRUCTION TO 75%,May 2020,Sep 2020,Jun 2023,Oct 2023
KG043-018,ORIGINAL EQUIP & FURNISHING,Sep 2020,Dec 2020,Oct 2023,Jan 2024
KG043-018,SUBSTANTIAL COMPLETION,Dec 2020,Feb 2021,Jan 2024,Mar 2024
KG043-018,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2021,Mar 2021,Mar 2024,Jul 2024
KG044-020,DEVELOP SCOPE,Jun 2020,Sep 2020,Jun 2020,Sep 2020
KG044-020,PRELIMINARY DESIGN,Sep 2020,Jan 2021,Sep 2020,Jan 2021
KG044-020,FINAL DESIGN,Jan 2021,Jul 2021,Jan 2021,Jul 2021
KG044-020,BID AWARD AND REGISTER CONTRCT,Jul 2021,Oct 2021,Jul 2021,Oct 2021
KG044-020,CONSTRUCTION TO 25%,Oct 2021,Feb 2022,Oct 2021,Feb 2022
KG044-020,CONSTRUCTION TO 50%,Feb 2022,Jun 2022,Feb 2022,Jun 2022
KG044-020,CONSTRUCTION TO 75%,Jun 2022,Oct 2022,Jun 2022,Oct 2022
KG044-020,ORIGINAL EQUIP & FURNISHING,Oct 2022,Jan 2023,Oct 2022,Jan 2023
KG044-020,SUBSTANTIAL COMPLETION,Jan 2023,Mar 2023,Jan 2023,Mar 2023
KG044-020,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2023,Apr 2023,Mar 2023,Apr 2023
KG045-020,DEVELOP SCOPE,Jun 2020,Sep 2020,Jun 2020,Sep 2020
KG045-020,PRELIMINARY DESIGN,Sep 2020,Jan 2021,Sep 2020,Jan 2021
KG045-020,FINAL DESIGN,Jan 2021,Jul 2021,Jan 2021,Jul 2021
KG045-020,BID AWARD AND REGISTER CONTRCT,Jul 2021,Oct 2021,Jul 2021,Oct 2021
KG045-020,CONSTRUCTION TO 25%,Oct 2021,Feb 2022,Oct 2021,Feb 2022
KG045-020,CONSTRUCTION TO 50%,Feb 2022,Jun 2022,Feb 2022,Jun 2022
KG045-020,CONSTRUCTION TO 75%,Jun 2022,Oct 2022,Jun 2022,Oct 2022
KG045-020,ORIGINAL EQUIP & FURNISHING,Oct 2022,Jan 2023,Oct 2022,Jan 2023
KG045-020,SUBSTANTIAL COMPLETION,Jan 2023,Mar 2023,Jan 2023,Mar 2023
KG045-020,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2023,Apr 2023,Mar 2023,Apr 2027
KG201-006,DEVELOP SCOPE,May 2009,Aug 2009,May 2009,Aug 2009
KG201-006,PRELIMINARY DESIGN,Aug 2009,Dec 2009,Aug 2009,Dec 2009
KG201-006,FINAL DESIGN,Dec 2009,Jun 2010,Dec 2009,Jun 2010
KG201-006,BID AWARD AND REGISTER CONTRCT,Jun 2010,Sep 2010,Jun 2010,Sep 2010
KG201-006,CONSTRUCTION TO 25%,Sep 2010,Jan 2011,Sep 2010,Jan 2011
KG201-006,CONSTRUCTION TO 50%,Jan 2011,May 2011,Jan 2011,May 2011
KG201-006,CONSTRUCTION TO 75%,May 2011,Sep 2011,May 2011,Sep 2011
KG201-006,ORIGINAL EQUIP & FURNISHING,Sep 2011,Dec 2011,Sep 2011,Dec 2011
KG201-006,SUBSTANTIAL COMPLETION,Dec 2011,Feb 2012,Dec 2011,Feb 2012
KG201-006,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2012,Mar 2012,Feb 2012,Dec 2022
KG203-006,DEVELOP SCOPE,Mar 2007,May 2007,Mar 2007,May 2007
KG203-006,PRELIMINARY DESIGN,May 2007,Sep 2007,May 2007,Sep 2007
KG203-006,FINAL DESIGN,Sep 2007,Mar 2008,Sep 2007,Mar 2008
KG203-006,BID AWARD AND REGISTER CONTRCT,Mar 2008,Jun 2008,Mar 2008,Jun 2008
KG203-006,CONSTRUCTION TO 25%,Jun 2008,Oct 2008,Jun 2008,Oct 2008
KG203-006,CONSTRUCTION TO 50%,Oct 2008,Feb 2009,Oct 2008,Feb 2009
KG203-006,CONSTRUCTION TO 75%,Feb 2009,Jun 2009,Feb 2009,Jun 2009
KG203-006,ORIGINAL EQUIP & FURNISHING,Jun 2009,Sep 2009,Jun 2009,Sep 2009
KG203-006,SUBSTANTIAL COMPLETION,Sep 2009,Nov 2009,Sep 2009,Nov 2009
KG203-006,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2009,Dec 2009,Nov 2009,Jun 2024
ME001-021,DEVELOP SCOPE,Jun 2021,Sep 2021,Jun 2021,Sep 2021
ME001-021,PRELIMINARY DESIGN,Sep 2021,Jan 2022,Sep 2021,Jan 2022
ME001-021,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
ME001-021,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
ME001-021,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
ME001-021,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
ME001-021,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
ME001-021,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
ME001-021,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
