"ogc_fid","station id","complex id","gtfs stop id","division","line","stop name","borough","daytime routes","structure","gtfs latitude","gtfs longitude","north direction label","south direction label"
14,14,"14","R19","BMT","Broadway - Brighton","23 St","M","R W","Subway","40.741303","-73.989344","Uptown & Queens","Downtown & Brooklyn"
15,15,"602","R20","BMT","Broadway - Brighton","14 St - Union Sq","M","N Q R W","Subway","40.735736","-73.990568","Uptown & Queens","Downtown & Brooklyn"
16,16,"16","R21","BMT","Broadway - Brighton","8 St - NYU","M","R W","Subway","40.730328","-73.992629","Uptown & Queens","Downtown & Brooklyn"
17,17,"17","R22","BMT","Broadway - Brighton","Prince St","M","R W","Subway","40.724329","-73.997702","Uptown & Queens","Downtown & Brooklyn"
18,18,"623","R23","BMT","Broadway","Canal St","M","R W","Subway","40.719527","-74.001775","Uptown & Queens","Downtown & Brooklyn"
19,19,"623","Q01","BMT","Manhattan Bridge","Canal St","M","N Q","Subway","40.718383","-74.00046","Uptown & Queens","Downtown & Brooklyn"
20,20,"20","R24","BMT","Broadway","City Hall","M","R W","Subway","40.713282","-74.006978","Uptown & Queens","Downtown & Brooklyn"
21,21,"624","R25","BMT","Broadway","Cortlandt St","M","R W","Subway","40.710668","-74.011029","Uptown & Queens","Downtown & Brooklyn"
22,22,"22","R26","BMT","Broadway","Rector St","M","R W","Subway","40.70722","-74.013342","Uptown & Queens","Downtown & Brooklyn"
23,23,"635","R27","BMT","Broadway","Whitehall St","M","R W","Subway","40.703087","-74.012994","Uptown & Queens","Brooklyn"
24,24,"620","R28","BMT","Broadway","Court St","Bk","R","Subway","40.6941","-73.991777","Manhattan","Bay Ridge - 95 St"
25,25,"636","R29","BMT","Broadway","Jay St - MetroTech","Bk","R","Subway","40.69218","-73.985942","Manhattan","Bay Ridge - 95 St"
26,26,"26","R30","BMT","Broadway - Brighton","DeKalb Av","Bk","B Q R","Subway","40.690635","-73.981824","Manhattan","Coney Island - Bay Ridge"
27,27,"617","R31","BMT","4th Av","Atlantic Av - Barclays Ctr","Bk","D N R","Subway","40.683666","-73.97881","Manhattan","Coney Island - Bay Ridge"
28,28,"28","R32","BMT","4th Av","Union St","Bk","R","Subway","40.677316","-73.98311","Manhattan","Bay Ridge - 95 St"
29,29,"608","R33","BMT","4th Av","9 St","Bk","R","Subway","40.670847","-73.988302","Manhattan","Bay Ridge - 95 St"
30,30,"30","R34","BMT","4th Av","Prospect Av","Bk","R","Subway","40.665414","-73.992872","Manhattan","Bay Ridge - 95 St"
31,31,"31","R35","BMT","4th Av","25 St","Bk","R","Subway","40.660397","-73.998091","Manhattan","Bay Ridge - 95 St"
32,32,"32","R36","BMT","4th Av","36 St","Bk","D N R","Subway","40.655144","-74.003549","Manhattan","Coney Island - Bay Ridge"
33,33,"33","R39","BMT","4th Av","45 St","Bk","R","Subway","40.648939","-74.010006","Manhattan","Bay Ridge - 95 St"
34,34,"34","R40","BMT","4th Av","53 St","Bk","R","Subway","40.645069","-74.014034","Manhattan","Bay Ridge - 95 St"
35,35,"35","R41","BMT","4th Av","59 St","Bk","N R","Subway","40.641362","-74.017881","Manhattan","Coney Island - Bay Ridge"
36,36,"36","R42","BMT","4th Av","Bay Ridge Av","Bk","R","Subway","40.634967","-74.023377","Manhattan","95 St"
37,37,"37","R43","BMT","4th Av","77 St","Bk","R","Subway","40.629742","-74.02551","Manhattan","95 St"
38,38,"38","R44","BMT","4th Av","86 St","Bk","R","Subway","40.622687","-74.028398","Manhattan","95 St"
39,39,"39","R45","BMT","4th Av","Bay Ridge - 95 St","Bk","R","Subway","40.616622","-74.030876","Manhattan",""
40,40,"617","D24","BMT","Broadway - Brighton","Atlantic Av - Barclays Ctr","Bk","B Q","Subway","40.68446","-73.97689","Manhattan","Brighton Beach & Coney Island"
41,41,"41","D25","BMT","Broadway - Brighton","7 Av","Bk","B Q","Subway","40.67705","-73.972367","Manhattan","Brighton Beach & Coney Island"
42,42,"42","D26","BMT","Broadway - Brighton","Prospect Park","Bk","B Q","Open Cut","40.661614","-73.962246","Manhattan & Franklin Av","Brighton Beach & Coney Island"
43,43,"43","D27","BMT","Broadway - Brighton","Parkside Av","Bk","B Q","Open Cut","40.655292","-73.961495","Manhattan","Brighton Beach & Coney Island"
44,44,"44","D28","BMT","Broadway - Brighton","Church Av","Bk","B Q","Open Cut","40.650527","-73.962982","Manhattan","Brighton Beach & Coney Island"
45,45,"45","D29","BMT","Broadway - Brighton","Beverley Rd","Bk","B Q","Open Cut","40.644031","-73.964492","Manhattan","Brighton Beach & Coney Island"
46,46,"46","D30","BMT","Broadway - Brighton","Cortelyou Rd","Bk","B Q","Open Cut","40.640927","-73.963891","Manhattan","Brighton Beach & Coney Island"
47,47,"47","D31","BMT","Broadway - Brighton","Newkirk Plaza","Bk","B Q","Open Cut","40.635082","-73.962793","Manhattan","Brighton Beach & Coney Island"
48,48,"48","D32","BMT","Broadway - Brighton","Avenue H","Bk","B Q","Open Cut","40.62927","-73.961639","Manhattan","Brighton Beach & Coney Island"
49,49,"49","D33","BMT","Broadway - Brighton","Avenue J","Bk","B Q","Open Cut","40.625039","-73.960803","Manhattan","Brighton Beach & Coney Island"
50,50,"50","D34","BMT","Broadway - Brighton","Avenue M","Bk","B Q","Open Cut","40.617618","-73.959399","Manhattan","Brighton Beach & Coney Island"
51,51,"51","D35","BMT","Broadway - Brighton","Kings Hwy","Bk","B Q","Open Cut","40.60867","-73.957734","Manhattan","Brighton Beach & Coney Island"
52,52,"52","D37","BMT","Broadway - Brighton","Avenue U","Bk","B Q","Open Cut","40.5993","-73.955929","Manhattan","Brighton Beach & Coney Island"
53,53,"53","D38","BMT","Broadway - Brighton","Neck Rd","Bk","B Q","Open Cut","40.595246","-73.955161","Manhattan","Brighton Beach & Coney Island"
54,54,"54","D39","BMT","Broadway - Brighton","Sheepshead Bay","Bk","B Q","Open Cut","40.586896","-73.954155","Manhattan","Brighton Beach & Coney Island"
55,55,"55","D40","BMT","Broadway - Brighton","Brighton Beach","Bk","B Q","Elevated","40.577621","-73.961376","Manhattan","Coney Island"
56,56,"56","D41","BMT","Broadway - Brighton","Ocean Pkwy","Bk","Q","Elevated","40.576312","-73.968501","Manhattan","Stillwell Av"
57,57,"57","D42","BMT","Broadway - Brighton","W 8 St - NY Aquarium","Bk","F Q","Elevated","40.576127","-73.975939","Manhattan","Stillwell Av"
58,58,"58","D43","BMT","Sea Beach / West End / Culver / Brighton","Coney Island - Stillwell Av","Bk","D F N Q","Viaduct","40.577422","-73.981233","Manhattan",""
59,59,"59","B12","BMT","West End","9 Av","Bk","D","Open Cut","40.646292","-73.994324","Manhattan","Coney Island"
60,60,"60","B13","BMT","West End","Fort Hamilton Pkwy","Bk","D","Elevated","40.640914","-73.994304","Manhattan","Coney Island"
61,61,"61","B14","BMT","West End","50 St","Bk","D","Elevated","40.63626","-73.994791","Manhattan","Coney Island"
62,62,"62","B15","BMT","West End","55 St","Bk","D","Elevated","40.631435","-73.995476","Manhattan","Coney Island"
63,63,"615","B16","BMT","West End","62 St","Bk","D","Elevated","40.626472","-73.996895","Manhattan","Coney Island"
64,64,"64","B17","BMT","West End","71 St","Bk","D","Elevated","40.619589","-73.998864","Manhattan","Coney Island"
65,65,"65","B18","BMT","West End","79 St","Bk","D","Elevated","40.613501","-74.00061","Manhattan","Coney Island"
66,66,"66","B19","BMT","West End","18 Av","Bk","D","Elevated","40.607954","-74.001736","Manhattan","Coney Island"
67,67,"67","B20","BMT","West End","20 Av","Bk","D","Elevated","40.604556","-73.998168","Manhattan","Coney Island"
68,68,"68","B21","BMT","West End","Bay Pkwy","Bk","D","Elevated","40.601875","-73.993728","Manhattan","Coney Island"
69,69,"69","B22","BMT","West End","25 Av","Bk","D","Elevated","40.597704","-73.986829","Manhattan","Coney Island"
70,70,"70","B23","BMT","West End","Bay 50 St","Bk","D","Elevated","40.588841","-73.983765","Manhattan","Coney Island"
71,71,"71","N02","BMT","Sea Beach","8 Av","Bk","N","Open Cut","40.635064","-74.011719","Manhattan","Coney Island"
72,72,"72","N03","BMT","Sea Beach","Fort Hamilton Pkwy","Bk","N","Open Cut","40.631386","-74.005351","Manhattan","Coney Island"
73,73,"615","N04","BMT","Sea Beach","New Utrecht Av","Bk","N","Open Cut","40.624842","-73.996353","Manhattan","Coney Island"
74,74,"74","N05","BMT","Sea Beach","18 Av","Bk","N","Open Cut","40.620671","-73.990414","Manhattan","Coney Island"
75,75,"75","N06","BMT","Sea Beach","20 Av","Bk","N","Open Cut","40.61741","-73.985026","Manhattan","Coney Island"
76,76,"76","N07","BMT","Sea Beach","Bay Pkwy","Bk","N","Open Cut","40.611815","-73.981848","Manhattan","Coney Island"
77,77,"77","N08","BMT","Sea Beach","Kings Hwy","Bk","N","Open Cut","40.603923","-73.980353","Manhattan","Coney Island"
78,78,"78","N09","BMT","Sea Beach","Avenue U","Bk","N","Open Cut","40.597473","-73.979137","Manhattan","Coney Island"
79,79,"79","N10","BMT","Sea Beach","86 St","Bk","N","Open Cut","40.592721","-73.97823","Manhattan","Coney Island"
80,80,"80","J12","BMT","Jamaica","121 St","Q","J Z","Elevated","40.700492","-73.828294","Jamaica","Manhattan"
81,81,"81","J13","BMT","Jamaica","111 St","Q","J","Elevated","40.697418","-73.836345","Jamaica","Manhattan"
82,82,"82","J14","BMT","Jamaica","104 St","Q","J Z","Elevated","40.695178","-73.84433","Jamaica","Manhattan"
83,83,"83","J15","BMT","Jamaica","Woodhaven Blvd","Q","J Z","Elevated","40.693879","-73.851576","Jamaica","Manhattan"
84,84,"84","J16","BMT","Jamaica","85 St - Forest Pkwy","Q","J","Elevated","40.692435","-73.86001","Jamaica","Manhattan"
85,85,"85","J17","BMT","Jamaica","75 St","Q","J Z","Elevated","40.691324","-73.867139","Jamaica","Manhattan"
86,86,"86","J19","BMT","Jamaica","Cypress Hills","Bk","J","Elevated","40.689941","-73.87255","Jamaica","Manhattan"
87,87,"87","J20","BMT","Jamaica","Crescent St","Bk","J Z","Elevated","40.683194","-73.873785","Jamaica","Manhattan"
88,88,"88","J21","BMT","Jamaica","Norwood Av","Bk","J Z","Elevated","40.68141","-73.880039","Jamaica","Manhattan"
89,89,"89","J22","BMT","Jamaica","Cleveland St","Bk","J","Elevated","40.679947","-73.884639","Jamaica","Manhattan"
90,90,"90","J23","BMT","Jamaica","Van Siclen Av","Bk","J Z","Elevated","40.678024","-73.891688","Jamaica","Manhattan"
91,91,"91","J24","BMT","Jamaica","Alabama Av","Bk","J","Elevated","40.676992","-73.898654","Jamaica","Manhattan"
92,92,"621","J27","BMT","Jamaica","Broadway Jct","Bk","J Z","Elevated","40.679498","-73.904512","Jamaica","Manhattan"
93,93,"93","J28","BMT","Jamaica","Chauncey St","Bk","J Z","Elevated","40.682893","-73.910456","Jamaica","Manhattan"
94,94,"94","J29","BMT","Jamaica","Halsey St","Bk","J","Elevated","40.68637","-73.916559","Jamaica","Manhattan"
95,95,"95","J30","BMT","Jamaica","Gates Av","Bk","J Z","Elevated","40.68963","-73.92227","Jamaica","Manhattan"
96,96,"96","J31","BMT","Jamaica","Kosciuszko St","Bk","J","Elevated","40.693342","-73.928814","Jamaica","Manhattan"
97,97,"97","M11","BMT","Jamaica","Myrtle Av","Bk","J M Z","Elevated","40.697207","-73.935657","Jamaica - Middle Village","Manhattan"
98,98,"98","M12","BMT","Jamaica","Flushing Av","Bk","J M","Elevated","40.70026","-73.941126","Jamaica - Middle Village","Manhattan"
99,99,"99","M13","BMT","Jamaica","Lorimer St","Bk","J M","Elevated","40.703869","-73.947408","Jamaica - Middle Village","Manhattan"
100,100,"100","M14","BMT","Jamaica","Hewes St","Bk","J M","Elevated","40.70687","-73.953431","Jamaica - Middle Village","Manhattan"
101,101,"101","M16","BMT","Jamaica","Marcy Av","Bk","J M Z","Elevated","40.708359","-73.957757","Jamaica - Middle Village","Manhattan"
102,102,"625","M18","BMT","Jamaica","Essex St","M","J M Z","Subway","40.718315","-73.987437","Brooklyn","Broad St (JZ) - Uptown (M)"
103,103,"103","M19","BMT","Jamaica","Bowery","M","J Z","Subway","40.72028","-73.993915","Brooklyn","Broad St"
104,104,"623","M20","BMT","Jamaica","Canal St","M","J Z","Subway","40.718092","-73.999892","Brooklyn","Broad St"
105,105,"622","M21","BMT","Jamaica","Chambers St","M","J Z","Subway","40.713243","-74.003401","Brooklyn","Broad St"
106,106,"628","M22","BMT","Jamaica","Fulton St","M","J Z","Subway","40.710374","-74.007582","Brooklyn","Broad St"
107,107,"107","M23","BMT","Jamaica","Broad St","M","J Z","Subway","40.706476","-74.011056","Brooklyn",""
108,108,"108","M01","BMT","Myrtle Av","Middle Village - Metropolitan Av","Q","M","Elevated","40.711396","-73.889601","Manhattan",""
109,109,"109","M04","BMT","Myrtle Av","Fresh Pond Rd","Q","M","Elevated","40.706186","-73.895877","Manhattan","Metropolitan Av"
110,110,"110","M05","BMT","Myrtle Av","Forest Av","Q","M","Elevated","40.704423","-73.903077","Manhattan","Metropolitan Av"
111,111,"111","M06","BMT","Myrtle Av","Seneca Av","Q","M","Elevated","40.702762","-73.90774","Manhattan","Metropolitan Av"
112,112,"630","M08","BMT","Myrtle Av","Myrtle - Wyckoff Avs","Bk","M","Elevated","40.69943","-73.912385","Manhattan","Metropolitan Av"
113,113,"113","M09","BMT","Myrtle Av","Knickerbocker Av","Bk","M","Elevated","40.698664","-73.919711","Manhattan","Metropolitan Av"
114,114,"114","M10","BMT","Myrtle Av","Central Av","Bk","M","Elevated","40.697857","-73.927397","Manhattan","Metropolitan Av"
115,115,"618","L01","BMT","Canarsie","8 Av","M","L","Subway","40.739777","-74.002578","","Brooklyn"
116,116,"601","L02","BMT","Canarsie","6 Av","M","L","Subway","40.737335","-73.996786","8 Av","Brooklyn"
117,117,"602","L03","BMT","Canarsie","Union Sq - 14 St","M","L","Subway","40.734789","-73.99073","8 Av","Brooklyn"
118,118,"118","L05","BMT","Canarsie","3 Av","M","L","Subway","40.732849","-73.986122","8 Av","Brooklyn"
119,119,"119","L06","BMT","Canarsie","1 Av","M","L","Subway","40.730953","-73.981628","8 Av","Brooklyn"
120,120,"120","L08","BMT","Canarsie","Bedford Av","Bk","L","Subway","40.717304","-73.956872","Manhattan","Canarsie - Rockaway Parkway"
121,121,"629","L10","BMT","Canarsie","Lorimer St","Bk","L","Subway","40.714063","-73.950275","Manhattan","Canarsie - Rockaway Parkway"
122,122,"122","L11","BMT","Canarsie","Graham Av","Bk","L","Subway","40.714565","-73.944053","Manhattan","Canarsie - Rockaway Parkway"
123,123,"123","L12","BMT","Canarsie","Grand St","Bk","L","Subway","40.711926","-73.94067","Manhattan","Canarsie - Rockaway Parkway"
124,124,"124","L13","BMT","Canarsie","Montrose Av","Bk","L","Subway","40.707739","-73.93985","Manhattan","Canarsie - Rockaway Parkway"
125,125,"125","L14","BMT","Canarsie","Morgan Av","Bk","L","Subway","40.706152","-73.933147","Manhattan","Canarsie - Rockaway Parkway"
126,126,"126","L15","BMT","Canarsie","Jefferson St","Bk","L","Subway","40.706607","-73.922913","Manhattan","Canarsie - Rockaway Parkway"
127,127,"127","L16","BMT","Canarsie","DeKalb Av","Bk","L","Subway","40.703811","-73.918425","Manhattan","Canarsie - Rockaway Parkway"
128,128,"630","L17","BMT","Canarsie","Myrtle - Wyckoff Avs","Bk","L","Subway","40.699814","-73.911586","Manhattan","Canarsie - Rockaway Parkway"
129,129,"129","L19","BMT","Canarsie","Halsey St","Q","L","Subway","40.695602","-73.904084","Manhattan","Canarsie - Rockaway Parkway"
130,130,"130","L20","BMT","Canarsie","Wilson Av","Bk","L","Subway","40.688764","-73.904046","Manhattan","Canarsie - Rockaway Parkway"
131,131,"131","L21","BMT","Canarsie","Bushwick Av - Aberdeen St","Bk","L","Subway","40.682829","-73.905249","Manhattan","Canarsie - Rockaway Parkway"
132,132,"621","L22","BMT","Canarsie","Broadway Jct","Bk","L","Elevated","40.678856","-73.90324","Manhattan","Canarsie - Rockaway Parkway"
133,133,"133","L24","BMT","Canarsie","Atlantic Av","Bk","L","Elevated","40.675345","-73.903097","Manhattan","Canarsie - Rockaway Parkway"
134,134,"134","L25","BMT","Canarsie","Sutter Av","Bk","L","Elevated","40.669367","-73.901975","Manhattan","Canarsie - Rockaway Parkway"
135,135,"135","L26","BMT","Canarsie","Livonia Av","Bk","L","Elevated","40.664038","-73.900571","Manhattan","Canarsie - Rockaway Parkway"
136,136,"136","L27","BMT","Canarsie","New Lots Av","Bk","L","Elevated","40.658733","-73.899232","Manhattan","Canarsie - Rockaway Parkway"
137,137,"137","L28","BMT","Canarsie","E 105 St","Bk","L","At Grade","40.650573","-73.899485","Manhattan","Canarsie - Rockaway Parkway"
138,138,"138","L29","BMT","Canarsie","Canarsie - Rockaway Pkwy","Bk","L","At Grade","40.646654","-73.90185","Manhattan",""
139,139,"627","S01","BMT","Franklin Shuttle","Franklin Av","Bk","S","Elevated","40.680596","-73.955827","","Prospect Park"
140,141,"141","S03","BMT","Franklin Shuttle","Park Pl","Bk","S","Open Cut","40.674772","-73.957624","Franklin Av","Prospect Park"
141,142,"626","S04","BMT","Franklin Shuttle","Botanic Garden","Bk","S","Open Cut","40.670343","-73.959245","Franklin Av","Prospect Park"
142,143,"143","A02","IND","8th Av - Fulton St","Inwood - 207 St","M","A","Subway","40.868072","-73.919899","","Downtown & Brooklyn"
143,144,"144","A03","IND","8th Av - Fulton St","Dyckman St","M","A","Subway","40.865491","-73.927271","207 St","Downtown & Brooklyn"
144,145,"145","A05","IND","8th Av - Fulton St","190 St","M","A","Subway","40.859022","-73.93418","207 St","Downtown & Brooklyn"
145,146,"146","A06","IND","8th Av - Fulton St","181 St","M","A","Subway","40.851695","-73.937969","207 St","Downtown & Brooklyn"
146,147,"147","A07","IND","8th Av - Fulton St","175 St","M","A","Subway","40.847391","-73.939704","207 St","Downtown & Brooklyn"
147,148,"605","A09","IND","8th Av - Fulton St","168 St","M","A C","Subway","40.840719","-73.939561","207 St","Downtown & Brooklyn"
148,149,"149","A10","IND","8th Av - Fulton St","163 St - Amsterdam Av","M","C","Subway","40.836013","-73.939892","Uptown","Downtown & Brooklyn"
149,150,"150","A11","IND","8th Av - Fulton St","155 St","M","C","Subway","40.830518","-73.941514","Uptown","Downtown & Brooklyn"
150,151,"151","A12","IND","8th Av - Fulton St","145 St","M","A C","Subway","40.824783","-73.944216","Uptown & The Bronx","Downtown & Brooklyn"
151,151,"151","D13","IND","Concourse","145 St","M","B D","Subway","40.824783","-73.944216","Uptown & The Bronx","Downtown & Brooklyn"
152,152,"152","A14","IND","8th Av - Fulton St","135 St","M","B C","Subway","40.817894","-73.947649","Uptown & The Bronx","Downtown & Brooklyn"
153,153,"153","A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway","40.811109","-73.952343","Uptown & The Bronx","Downtown & Brooklyn"
154,154,"154","A16","IND","8th Av - Fulton St","116 St","M","B C","Subway","40.805085","-73.954882","Uptown & The Bronx","Downtown & Brooklyn"
155,155,"155","A17","IND","8th Av - Fulton St","Cathedral Pkwy (110 St)","M","B C","Subway","40.800603","-73.958161","Uptown & The Bronx","Downtown & Brooklyn"
156,156,"156","A18","IND","8th Av - Fulton St","103 St","M","B C","Subway","40.796092","-73.961454","Uptown & The Bronx","Downtown & Brooklyn"
157,157,"157","A19","IND","8th Av - Fulton St","96 St","M","B C","Subway","40.791642","-73.964696","Uptown & The Bronx","Downtown & Brooklyn"
158,158,"158","A20","IND","8th Av - Fulton St","86 St","M","B C","Subway","40.785868","-73.968916","Uptown & The Bronx","Downtown & Brooklyn"
159,159,"159","A21","IND","8th Av - Fulton St","81 St - Museum of Natural History","M","B C","Subway","40.781433","-73.972143","Uptown & The Bronx","Downtown & Brooklyn"
160,160,"160","A22","IND","8th Av - Fulton St","72 St","M","B C","Subway","40.775594","-73.97641","Uptown & The Bronx","Downtown & Brooklyn"
161,161,"614","A24","IND","8th Av - Fulton St","59 St - Columbus Circle","M","A B C D","Subway","40.768296","-73.981736","Uptown & The Bronx","Downtown & Brooklyn"
162,162,"162","A25","IND","8th Av - Fulton St","50 St","M","C E","Subway","40.762456","-73.985984","Uptown - Queens","Downtown & Brooklyn"
163,163,"611","A27","IND","8th Av - Fulton St","42 St - Port Authority Bus Terminal","M","A C E","Subway","40.757308","-73.989735","Uptown - Queens","Downtown & Brooklyn"
164,164,"164","A28","IND","8th Av - Fulton St","34 St - Penn Station","M","A C E","Subway","40.752287","-73.993391","Uptown - Queens","Downtown & Brooklyn"
165,165,"165","A30","IND","8th Av - Fulton St","23 St","M","C E","Subway","40.745906","-73.998041","Uptown - Queens","Downtown & Brooklyn"
166,166,"618","A31","IND","8th Av - Fulton St","14 St","M","A C E","Subway","40.740893","-74.00169","Uptown - Queens","Downtown & Brooklyn"
167,167,"167","A32","IND","8th Av - Fulton St","W 4 St","M","A C E","Subway","40.732338","-74.000495","Uptown - Queens","Downtown & Brooklyn"
168,167,"167","D20","IND","6th Av - Culver","W 4 St","M","B D F M","Subway","40.732338","-74.000495","Uptown - Queens","Downtown & Brooklyn"
169,168,"168","A33","IND","8th Av - Fulton St","Spring St","M","C E","Subway","40.726227","-74.003739","Uptown - Queens","Downtown & Brooklyn"
170,169,"169","A34","IND","8th Av - Fulton St","Canal St","M","A C E","Subway","40.720824","-74.005229","Uptown - Queens","Downtown & Brooklyn"
171,170,"624","A36","IND","8th Av - Fulton St","Chambers St","M","A C","Subway","40.714111","-74.008585","Uptown","Downtown & Brooklyn"
172,171,"624","E01","IND","8th Av - Fulton St","World Trade Center","M","E","Subway","40.712582","-74.009781","Uptown & Queens",""
173,172,"628","A38","IND","8th Av - Fulton St","Fulton St","M","A C","Subway","40.710197","-74.007691","Uptown","Brooklyn"
174,173,"173","A40","IND","8th Av - Fulton St","High St","Bk","A C","Subway","40.699337","-73.990531","Manhattan","Euclid - Lefferts - Rockaways"
175,174,"636","A41","IND","8th Av - Fulton St","Jay St - MetroTech","Bk","A C F","Subway","40.692338","-73.987342","Manhattan","Euclid - Lefferts - Rockaways - Coney Island"
176,175,"175","A42","IND","8th Av - Fulton St","Hoyt - Schermerhorn Sts","Bk","A C G","Subway","40.688484","-73.985001","Manhattan - Church Av","Euclid Av & Queens - Court Sq"
177,176,"176","A43","IND","8th Av - Fulton St","Lafayette Av","Bk","C","Subway","40.686113","-73.973946","Manhattan","Euclid Av"
178,177,"177","A44","IND","8th Av - Fulton St","Clinton - Washington Avs","Bk","C","Subway","40.683263","-73.965838","Manhattan","Euclid Av"
179,178,"627","A45","IND","8th Av - Fulton St","Franklin Av","Bk","C","Subway","40.68138","-73.956848","Manhattan","Euclid Av"
180,179,"179","A46","IND","8th Av - Fulton St","Nostrand Av","Bk","A C","Subway","40.680438","-73.950426","Manhattan","Euclid - Lefferts - Rockaways"
181,180,"180","A47","IND","8th Av - Fulton St","Kingston - Throop Avs","Bk","C","Subway","40.679921","-73.940858","Manhattan","Euclid Av"
182,181,"181","A48","IND","8th Av - Fulton St","Utica Av","Bk","A C","Subway","40.679364","-73.930729","Manhattan","Euclid - Lefferts - Rockaways"
183,182,"182","A49","IND","8th Av - Fulton St","Ralph Av","Bk","C","Subway","40.678822","-73.920786","Manhattan","Euclid Av"
184,183,"183","A50","IND","8th Av - Fulton St","Rockaway Av","Bk","C","Subway","40.67834","-73.911946","Manhattan","Euclid Av"
185,184,"621","A51","IND","8th Av - Fulton St","Broadway Jct","Bk","A C","Subway","40.678334","-73.905316","Manhattan","Euclid - Lefferts - Rockaways"
186,185,"185","A52","IND","8th Av - Fulton St","Liberty Av","Bk","C","Subway","40.674542","-73.896548","Manhattan","Euclid Av"
187,186,"186","A53","IND","8th Av - Fulton St","Van Siclen Av","Bk","C","Subway","40.67271","-73.890358","Manhattan","Euclid Av"
188,187,"187","A54","IND","8th Av - Fulton St","Shepherd Av","Bk","C","Subway","40.67413","-73.88075","Manhattan","Euclid Av"
189,188,"188","A55","IND","8th Av - Fulton St","Euclid Av","Bk","A C","Subway","40.675377","-73.872106","Manhattan","Lefferts - Rockaways"
190,189,"189","A57","IND","Liberty Av","Grant Av","Bk","A","Subway","40.677044","-73.86505","Manhattan","Lefferts - Rockaways"
191,190,"190","A59","IND","Liberty Av","80 St","Q","A","Elevated","40.679371","-73.858992","Manhattan","Lefferts - Rockaways"
192,191,"191","A60","IND","Liberty Av","88 St","Q","A","Elevated","40.679843","-73.85147","Manhattan","Lefferts - Rockaways"
193,192,"192","A61","IND","Liberty Av","Rockaway Blvd","Q","A","Elevated","40.680429","-73.843853","Manhattan","Lefferts - Rockaways"
194,193,"193","A63","IND","Liberty Av","104 St","Q","A","Elevated","40.681711","-73.837683","Manhattan","Lefferts Blvd"
195,194,"194","A64","IND","Liberty Av","111 St","Q","A","Elevated","40.684331","-73.832163","Manhattan","Lefferts Blvd"
196,195,"195","A65","IND","Liberty Av","Ozone Park - Lefferts Blvd","Q","A","Elevated","40.685951","-73.825798","Manhattan",""
197,196,"196","H01","IND","Rockaway","Aqueduct Racetrack","Q","A","At Grade","40.672097","-73.835919","Manhattan","Rockaways"
198,197,"197","H02","IND","Rockaway","Aqueduct - N Conduit Av","Q","A","At Grade","40.668234","-73.834058","Manhattan","Rockaways"
199,198,"198","H03","IND","Rockaway","Howard Beach - JFK Airport","Q","A","At Grade","40.660476","-73.830301","Manhattan","Rockaways"
200,199,"199","H04","IND","Rockaway","Broad Channel","Q","A S","At Grade","40.608382","-73.815925","Manhattan","Rockaways"
201,200,"200","H12","IND","Rockaway","Beach 90 St","Q","A S","Viaduct","40.588034","-73.813641","Manhattan","Rockaway Park"
202,201,"201","H13","IND","Rockaway","Beach 98 St","Q","A S","Viaduct","40.585307","-73.820558","Manhattan","Rockaway Park"
